ticker,date,year,weeknum,week_last_value,week_first_value,net_change
AVGO,2024-12-20,2024,51,20757.33092256601,23503.47719843065,-2746.146275864641
AVGO,2024-12-19,2024,51,20757.33092256601,23503.47719843065,-2746.146275864641
AVGO,2024-12-18,2024,51,20757.33092256601,23503.47719843065,-2746.146275864641
AVGO,2024-12-17,2024,51,20757.33092256601,23503.47719843065,-2746.146275864641
AVGO,2024-12-16,2024,51,20757.33092256601,23503.47719843065,-2746.146275864641
AMAT,2024-07-18,2024,29,13898.491961402036,16231.212313907878,-2332.720352505841
AMAT,2024-07-17,2024,29,13898.491961402036,16231.212313907878,-2332.720352505841
AMAT,2024-07-16,2024,29,13898.491961402036,16231.212313907878,-2332.720352505841
AMAT,2024-07-15,2024,29,13898.491961402036,16231.212313907878,-2332.720352505841
AMAT,2024-07-19,2024,29,13898.491961402036,16231.212313907878,-2332.720352505841
